person_id,name,given_name,gender,book_id,notes
boulding_kenneth,Boulding,Kenneth,male,Slobodian (2018),
bourgeois_leon,Bourgeois,Léon,male,Sluga (2013),
bourquin_maurice,Bourquin,Maurice,male,Clavin (2015),
boutros_ghali_boutros,Boutros-Ghali,Boutros,male,Mazower (2009),
bowers_john,Bowers,John,male,Sluga (2013),
bowman_isaiah,Bowman,Isaiah,male,Mazower (2009),
boyd_orr_john,Boyd Orr,John,male,Clavin (2015),
brand_r_h,Brand,R. H.,male,Clavin (2015),
brandt_karl,Brandt,Karl,male,Slobodian (2018),
brandt_willy,Brandt,Willy,male,Slobodian (2018),
brentano_lujo,Brentano,Lujo,male,Slobodian (2018),
briand_aristide,Briand,Aristide,male,Clavin (2015),
briand_aristide,Briand,Aristide,male,Martin (2022),
bridgman_raymond,Bridgman,Raymond,male,Sluga (2013),
brigden_james,Brigden,James,male,Clavin (2015),
bristol_lee_h,Bristol,Lee H.,male,Slobodian (2018),
brown_edward,Brown,Edward,male,Martin (2022),
bruce_stanley_melbourne,Bruce,Stanley Melbourne,male,Clavin (2015),
bruning_heinrich,Brüning,Heinrich,male,Clavin (2015),
bruning_heinrich,Brüning,Heinrich,male,Martin (2022),
buchanan_james_m,Buchanan,James M.,male,Slobodian (2018),
buchanan_pat,Buchanan,Pat,male,Slobodian (2018),
buckley_william_f,Buckley,William F.,male,Slobodian (2018),
bugge_wicksell_anna,Bugge-Wicksell,Anna,female,Sluga (2013),
bull_hedley,Bull,Hedley,male,Sluga (2013),
bullitt_william,Bullitt,William,male,Clavin (2015),
bullock_charles_j,Bullock,Charles J.,male,Slobodian (2018),
bunche_ralph,Bunche,Ralph,male,Sluga (2013),
burgess_w_r,Burgess,W. R.,male,Clavin (2015),
burgess_w_r,Burgess,W. R.,male,Martin (2022),
burnham_james,Burnham,James,male,Slobodian (2018),
bush_george_hw,Bush,George H. W.,male,Mazower (2009),
bush_george_hw,Bush,George H. W.,male,Slobodian (2018),
butler_harold,Butler,Harold,male,Clavin (2015),
butler_harold,Butler,Harold,male,Sluga (2013),
butler_nicholas_murray,Butler,Nicholas Murray,male,Slobodian (2018),
butler_nicholas_murray,Butler,Nicholas Murray,male,Sluga (2013),
cadogan_alexander,Cadogan,Alexander,male,Clavin (2015),
caine_sidney,Caine,Sidney,male,Martin (2022),
callaghan_james,Callaghan,James,male,Martin (2022),
calvo_carlos,Calvo,Carlos,male,Martin (2022),
campbell_sir_john,Campbell,Sir John,male,Martin (2022),
campbell_sir_john,Campbell,Sir John,male,Clavin (2015),
campos_roberto,Campos,Roberto,male,Slobodian (2018),
canetti_elias,Canetti,Elias,male,Slobodian (2018),
cannan_edwin,Cannan,Edwin,male,Slobodian (2018),
carr_e_h,Carr,E. H.,male,Clavin (2015),
carr_eh,Carr,E. H.,male,Mazower (2009),
carr_eh,Carr,E. H.,male,Sluga (2013),
carr_saunders_a_m,Carr-Saunders,A. M.,male,Clavin (2015),
carson_edward,Carson,Edward,male,Martin (2022),
carter_jimmy,Carter,Jimmy,male,Slobodian (2018),
cassel_gustav,Cassel,Gustav,male,Clavin (2015),
cassin_rene,Cassin,Rene,male,Mazower (2009),
cassin_rene,Cassin,René,male,Sluga (2013),
catt_carrie_chapman,Catt,Carrie Chapman,female,Sluga (2013),
cecil_lord_robert,Cecil,Lord Robert,male,Clavin (2015),
cecil_robert,Cecil,Robert,male,Martin (2022),
cecil_robert,Cecil,Robert,male,Mazower (2009),
celler_emmanuel,Celler,Emmanuel,male,Slobodian (2018),
chalendar_andre_de,Chalendar,André de,male,Clavin (2015),
chalmers_henry,Chalmers,Henry,male,Clavin (2015),
chamberlain_austen,Chamberlain,Austen,male,Martin (2022),
chamberlain_houston,Chamberlain,Houston,male,Mazower (2009),
chamberlain_neville,Chamberlain,Neville,male,Clavin (2015),
chamberlain_neville,Chamberlain,Neville,male,Slobodian (2018),
chamberlin_william_henry,Chamberlin,William Henry,male,Slobodian (2018),
chang_peng_chun,Chang,Peng-Chun,male,Sluga (2013),
chapman_sydney,Chapman,Sydney,male,Clavin (2015),
charron_rene,Charron,René,male,Clavin (2015),
charron_rene,Charron,René,male,Martin (2022),
cheron_henry,Chéron,Henry,male,Martin (2022),
chiang_kai_shek,Chiang Kai-shek (Jiang Jieshi),,male,Martin (2022),
chou_ken_sheng,Chou,Ken-Sheng,male,Sluga (2013),
churchill_sir_winston,Churchill,Sir Winston,male,Clavin (2015),
churchill_sir_winston,Churchill,Sir Winston,male,Martin (2022),
churchill_sir_winston,Churchill,Sir Winston,male,Mazower (2009),
churchill_sir_winston,Churchill,Sir Winston,male,Slobodian (2018),
clark_john_maurice,Clark,John Maurice,male,Clavin (2015),
