Organization,1950,1960,1970,1975
UN,44.5,65.7,168,270
WHO,7.5,18,80,133
UNESCO,7.3,13,45,85
ILO,6,9,34,42
FAO,5.2,9.5,40,53
IBRD (admin.),5,11.4,66,158
IMF (admin.),4.7,7,28,57
IAEA,0,5.8,13.8,27
ICAO,2.8,4.7,8.2,13.3
ITU,1.5,2.1,7.8,18.1
WMO,0.3,0.7,3.8,7.6
UPU,0.1,0.6,1.8,3.9
IMCO,0,0.2,1.3,3
